algo1,algo2,minisat
,,
V = ,5,
,,
1,2,
1,2,
1,1.33333,
1,2,
1,1.33333,
1,1.33333,
1,1.33333,
1,1.33333,
1,2,
1,1,
,,
V = ,6,
,,
1,2,
1,1.33333,
1,1.33333,
1,1.33333,
1,1.33333,
1,2,
1,1.33333,
1,1.33333,
1,1.33333,
1,2,
,,
V = ,7,
,,
1,1.5,
1,2,
1,1.5,
1,1.33333,
1,1.33333,
1,1.5,
1,1,
1,1.33333,
1,1.33333,
1,2,
,,
V = ,8,
,,
1,2,
1,1.5,
1,1.5,
1.25,1.5,
1,1,
1,1.2,
1,1.5,
1,1.5,
1,1,
1,1.2,
,,
V = ,9,
,,
1,1.6,
1,2,
1,2,
1,1.5,
1,1.5,
1,1,
1,1.5,
1,1.5,
1,2,
1,1.6,
,,
V = ,10,
,,
1,1.6,
1,1.6,
1,1.6,
1,1.6,
1,1.6,
1,2,
1,1.6,
1,1.6,
1,1,
1,1.2,
,,
V = ,11,
,,
1,1.33333,
1,1.6,
1,1.33333,
1.16667,1.33333,
1,1.6,
1,1.6,
1,1.33333,
1,1.33333,
1.2,1.6,
1,1.6,
,,
V = ,12,
,,
1,1.33333,
1,1.6,
1,1.33333,
1,1.6,
1.16667,1.66667,
1,1.66667,
1,1.66667,
1,1.66667,
1,1.6,
1,2,
,,
V = ,13,
,,
1,1.71429,
1,1.42857,
1,2,
1,1.42857,
1,1.42857,
1.16667,1.66667,
1.2,1.6,
1,2,
1.16667,1.33333,
1.16667,1.33333,
,,
V = ,14,
,,
1,1.42857,
1.14286,1.42857,
1.14286,1.42857,
1,1.6,
1,1.71429,
1,1.42857,
1,1.42857,
1.14286,1.42857,
,,
V = ,15,
,,
1,1.71429,
1,1.71429,
1,1.42857,
1,1.71429,
1,1.71429,
1,2,
,,
V = ,16,
,,
1,1.5,
1,1.71429,
