algo2,algo1,minisat
,,
V = ,5,
,,
21,602,0
17,569,0
19,472,0
24,333,0
17,201,0
17,362,0
23,253,0
20,413,0
26,529,0
20,379,0
19,256,0
21,343,0
23,339,0
23,438,0
22,269,0
23,221,0
24,556,0
20,321,0
19,476,0
33,306,0
,,
V = ,10,
,,
31,811,0
37,900,0
25,755,0
34,616,0
21,420,0
30,453,0
35,554,0
33,606,0
28,483,0
33,849,0
34,362,0
29,683,0
29,478,0
30,426,0
32,737,0
29,798,0
34,841,0
27,706,0
36,815,0
29,719,0
,,
V = ,15,
,,
40,952,0
30,628,0
37,874,0
37,1097,0
37,1190,0
39,1203,0
32,881,0
36,1004,0
41,647,0
40,719,0
39,1012,0
36,928,0
36,941,0
37,917,0
39,1218,0
36,1046,0
38,1489,0
38,1447,0
34,1126,0
36,1292,0
42,1168,0
38,1236,0
,,
V = ,20,
,,
62,1238,0
48,1570,0
50,1649,0
41,1234,0
61,1574,0
52,1288,0
52,1326,0
43,1339,0
52,524,0
,,
V = ,25,
,,
62,1265,0
67,2063,0
59,2529,0
63,1813,0
73,1851,0
62,1323,0
62,1932,0
55,1716,0
52,2207,0
,,
V = ,30,
,,
80,2026,0
75,2560,0
79,2043,0
80,1697,0
78,766,0
70,2111,0
79,2270,0
76,2109,0
,,
V = ,35,
,,
111,2838,0
95,2685,0
178,2507,0
93,2293,0
88,2549,0
91,2455,0
89,2630,0
73,2653,0
94,2440,0
96,2532,0
,,
V = ,40,
,,
102,2476,0
107,2785,0
110,3331,0
109,3143,0
107,3038,0
113,2417,0
118,2839,0
109,2688,0
127,3058,0
106,2771,0
,,
V = ,45,
,,
120,2550,0
126,3065,0
138,3454,0
127,3171,0
133,2991,0
138,2935,0
135,2386,0
138,3804,0
138,2537,0
,,
V = ,50,
,,
138,3269,0
161,3921,0
148,3361,0
150,3370,0
167,3317,0
143,2863,0
155,3485,0
148,3359,0
143,3341,0
